Property ID,Property Name,Location,Property Type,Amenities,Historical Occupancy Rate (%)
521,"Mccoy, Stevens and Powell","21549 Javier Flat
Wheelerland, OH 77596",Condo,be,87
522,Lowe Ltd,"10743 Dylan Shoals
Ortizville, FM 67034",Condo,"sit, he, ever, mouth",85
523,Hood Inc,"8689 Jessica Mountains
Hardyhaven, LA 46877",Single-family Home,response,80
524,"Werner, Wolfe and Jones","2361 Rodriguez Isle Apt. 763
Lake Christopher, KS 07108",Apartment,"woman, seek, almost",83
525,Preston-Pearson,"901 Lee Cliffs
Mosesborough, OR 52573",Single-family Home,many,94
526,Jones-Daniels,"5171 Jackson Path Apt. 875
Newmanshire, MD 48111",Condo,"product, place, structure",92
527,Harris-Meyer,"639 Nicole Mews
Lake Christopherberg, AS 30899",Single-family Home,market,86
528,Tran-Garcia,"8970 Stephanie Curve
Lukefort, AR 45357",Condo,"usually, dark, report, field",87
529,Khan-Lewis,"12607 Michael Walk Apt. 011
West Amy, ID 92371",Condo,"might, lay, old, word",95
530,Smith-Hopkins,"9337 Matthew Flat Apt. 332
Hillfort, PW 23044",Single-family Home,"sell, in, much",93
531,"Daniels, Blake and Meadows","98350 Alejandro Grove
West Jason, RI 19747",Condo,"policy, tell",91
532,Sandoval-Lopez,"8699 Candice Neck
Robinsonmouth, KS 44372",Apartment,"impact, suddenly, drive",94
533,Brewer-Gomez,"95062 Palmer Ways
Port James, OK 71803",Single-family Home,court,94
534,"Robertson, Parks and Gray","484 Mcgee Dale
North Brittneyfurt, VI 83692",Single-family Home,"their, executive, family",89
535,"Hayden, Williams and Stanley","70264 Melissa Stravenue Suite 140
Devinhaven, MD 37147",Single-family Home,development,96
536,Robinson LLC,"Unit 0540 Box 5877
DPO AE 08310",Single-family Home,find,91
537,"Brown, Sanchez and Castaneda","6480 Ashley Rest
Ayalatown, OH 39200",Condo,"company, gun, treat, charge, father",98
538,Barker-Williams,"3566 Brown Haven Apt. 229
Christopherburgh, LA 30853",Single-family Home,"air, use, statement, throw, create",82
539,"Williamson, Schultz and Roberts","552 Gina Ranch Suite 878
Andersonfurt, RI 90475",Single-family Home,increase,81
540,"Mills, Graham and Vargas","968 Amanda Pines Suite 446
Port Vanessa, GA 42036",Condo,"stand, maintain",85
541,"Zimmerman, Braun and Medina","21533 Brown Center
Port Randall, AL 02530",Single-family Home,"bank, exactly, commercial, hot, purpose",81
542,Riley Ltd,"928 Davis Run Suite 257
Lake Jasonville, ND 29346",Single-family Home,"success, price, choose, attention",91
543,Johnson and Sons,"444 Mclean Cape Suite 371
Lake Sarahmouth, NC 02244",Single-family Home,"field, table, right, become, do",90
544,Barajas-Miles,"432 Daniel Orchard Apt. 737
Christineville, MD 40644",Apartment,"company, reflect, look",84
545,Watkins-Flores,"4116 Sean Summit
Amandaborough, WI 23506",Single-family Home,"head, chair, measure, lead, magazine",84
546,Lewis LLC,"665 Rodriguez Island Apt. 422
Rojasview, SC 02926",Apartment,government,98
547,Padilla and Sons,"29598 Isabel Estate Suite 777
South Andrealand, IN 93684",Apartment,"skill, face, use, admit, political",87
548,"Reed, Smith and Anderson","7008 Blackwell Meadows Apt. 528
Morganhaven, PA 51365",Apartment,current,81
549,Stuart-Heath,"880 Adam Ford Apt. 089
Briannamouth, MO 25656",Single-family Home,"language, about",93
550,Scott-Sandoval,"3301 Antonio Station Suite 887
Jenniferfurt, DE 66353",Condo,particular,88
